<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BBC,20100304,04-03-10,25.2814,25.8128,25.0536,25.0547,131040
BBC,20100303,03-03-10,24.5222,25.2814,24.2944,25.2824,186500
BBC,20100302,02-03-10,24.0666,24.4462,23.9148,24.1436,128920
BBC,20100301,01-03-10,23.9148,24.5981,23.9148,23.9917,88500
BBC,20100226,26-02-10,23.8389,23.9148,23.5352,23.9158,64420
BBC,20100225,25-02-10,24.2944,24.2944,23.5352,23.5362,61990
BBC,20100224,24-02-10,23.3074,23.5352,23.0038,23.5362,52220
BBC,20100223,23-02-10,24.2944,24.2944,23.3074,23.3084,85850
BBC,20100222,22-02-10,24.8258,24.8258,23.9148,24.5232,114260
BBC,20100212,12-02-10,23.6111,23.8389,23.3834,23.8399,66870
BBC,20100211,11-02-10,23.5352,23.5352,23.1556,23.3844,30040
BBC,20100210,10-02-10,23.0038,23.5352,23.0038,23.3844,41440
BBC,20100209,09-02-10,23.4593,23.4593,22.776,23.0047,86150
BBC,20100208,08-02-10,23.1556,23.5352,22.8519,23.3844,44460
BBC,20100205,05-02-10,23.1556,24.2944,23.1556,23.5362,174480
BBC,20100204,04-02-10,22.9278,23.9907,22.9278,23.688,117930
BBC,20100203,03-02-10,23.0038,23.0038,22.776,22.9288,74120
BBC,20100202,02-02-10,22.1686,23.0797,22.1686,22.777,48890
BBC,20100201,01-02-10,22.7001,22.7001,21.6372,22.1696,25430
BBC,20100129,29-01-10,22.0168,22.6242,21.5613,22.0937,50190
BBC,20100128,28-01-10,23.4593,23.4593,22.3205,22.4733,66610
BBC,20100127,27-01-10,23.4593,23.4593,22.9278,23.4603,224400
BBC,20100126,26-01-10,22.3964,22.3964,22.3964,22.3974,7480
BBC,20100125,25-01-10,20.7262,21.3335,20.7262,21.3344,86030
BBC,20100122,22-01-10,20.6502,21.1058,20.0429,20.3474,86470
BBC,20100121,21-01-10,21.789,22.0168,20.9539,20.9548,86310
BBC,20100120,20-01-10,22.776,23.1556,21.865,22.0177,34620
BBC,20100119,19-01-10,22.776,22.776,22.1686,22.777,30030
BBC,20100118,18-01-10,22.3964,22.3964,21.6372,22.3974,67580
BBC,20100115,15-01-10,22.8519,23.9148,22.776,22.777,39830
BBC,20100114,14-01-10,23.9907,23.9907,23.1556,23.5362,80220
BBC,20100113,13-01-10,22.776,23.763,22.3964,23.3844,126610
BBC,20100112,12-01-10,24.7499,24.7499,23.5352,23.5362,163870
BBC,20100111,11-01-10,24.674,25.0536,24.3703,24.751,100060
BBC,20100108,08-01-10,27.1794,27.1794,24.7499,24.751,247110
BBC,20100107,07-01-10,25.2054,25.8887,25.2054,25.8898,128780
BBC,20100106,06-01-10,23.763,24.674,23.5352,24.675,188230
BBC,20100105,05-01-10,23.687,23.763,23.687,23.764,203490
