<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20130705,05-07-13,11.5097,11.5892,11.4301,11.5659,193730
FPT,20130704,04-07-13,11.324,11.6688,11.2975,11.5129,526820
FPT,20130703,03-07-13,11.2975,11.2975,11.1914,11.3007,144550
FPT,20130702,02-07-13,11.1649,11.3506,11.1384,11.2476,82370
FPT,20130701,01-07-13,11.1649,11.1649,11.0323,11.1415,42960
FPT,20130628,28-06-13,11.271,11.271,11.0854,11.0884,113820
FPT,20130627,27-06-13,11.0854,11.1119,10.9793,11.0354,171250
FPT,20130626,26-06-13,10.8997,11.0323,10.8997,11.0089,171080
FPT,20130625,25-06-13,11.1914,11.2445,10.8732,10.9823,668790
FPT,20130624,24-06-13,11.324,11.324,11.1914,11.2741,157140
FPT,20130621,21-06-13,11.2975,11.324,11.1384,11.3272,249940
FPT,20130620,20-06-13,11.4566,11.4566,11.324,11.3537,144390
FPT,20130619,19-06-13,11.4036,11.5097,11.3506,11.4068,105860
FPT,20130618,18-06-13,11.4566,11.4566,11.2975,11.3802,179510
FPT,20130617,17-06-13,11.8014,11.8014,11.4566,11.4598,245350
FPT,20130614,14-06-13,11.7218,11.9075,11.7218,11.7251,257590
FPT,20130613,13-06-13,11.8544,11.934,11.8014,11.8577,413530
FPT,20130612,12-06-13,11.934,11.987,11.8544,11.9373,194000
FPT,20130611,11-06-13,12.0931,12.0931,11.934,11.9904,235030
FPT,20130610,10-06-13,12.1992,12.1992,12.0666,12.0965,256220
FPT,20130607,07-06-13,12.1727,12.1992,11.934,12.07,145200
FPT,20130606,06-06-13,11.8544,12.1196,11.8544,12.123,189030
FPT,20130605,05-06-13,11.934,12.0666,11.934,11.9904,114490
FPT,20130604,04-06-13,11.7484,12.0931,11.7484,11.8577,721910
FPT,20130603,03-06-13,11.8014,11.9075,11.6953,11.7516,312910
FPT,20130531,31-05-13,11.6688,12.0666,11.6688,11.8047,580620
FPT,20130530,30-05-13,11.6158,11.6688,11.5362,11.6455,294550
FPT,20130529,29-05-13,11.5362,11.7749,11.4566,11.672,495190
FPT,20130528,28-05-13,11.4036,11.4832,11.3506,11.4333,330890
FPT,20130527,27-05-13,11.4832,11.5362,11.324,11.3537,364260
FPT,20130524,24-05-13,11.0588,11.2445,11.0323,11.1415,325890
FPT,20130523,23-05-13,10.9528,11.1914,10.9528,11.0619,620980
FPT,20130522,22-05-13,11.1384,11.1914,11.0588,11.0619,473190
FPT,20130521,21-05-13,10.9528,11.1384,10.6345,11.1415,1829150
FPT,20130520,20-05-13,10.2102,10.555,10.2102,10.4253,311400
FPT,20130517,17-05-13,10.2632,10.2898,10.2102,10.213,103500
FPT,20130516,16-05-13,10.3428,10.3428,10.2102,10.2926,129340
FPT,20130515,15-05-13,10.2632,10.2898,10.1837,10.2926,156680
FPT,20130514,14-05-13,10.0776,10.4224,10.0776,10.1865,321880
FPT,20130513,13-05-13,10.1306,10.1306,10.0511,10.0804,60290
FPT,20130510,10-05-13,10.0776,10.0776,10.0246,10.0539,64700
FPT,20130509,09-05-13,10.0776,10.0776,10.0246,10.0273,80750
FPT,20130508,08-05-13,10.0776,10.1041,9.9715,10.0273,122380
FPT,20130507,07-05-13,10.0776,10.1572,9.945,9.9478,91010
FPT,20130506,06-05-13,9.9185,10.1572,9.8389,10.16,188450
FPT,20130503,03-05-13,9.8389,9.8654,9.8124,9.8417,73320
FPT,20130502,02-05-13,9.9185,9.9185,9.8124,9.8151,66280
FPT,20130426,26-04-13,9.8654,9.9185,9.8389,9.8682,51690
FPT,20130425,25-04-13,9.9715,9.9715,9.8389,9.8682,46180
FPT,20130424,24-04-13,9.945,9.945,9.7859,9.8417,150350
FPT,20130423,23-04-13,9.9185,9.9185,9.8124,9.8947,70860
FPT,20130422,22-04-13,9.945,9.945,9.7859,9.7886,143400
FPT,20130418,18-04-13,9.9715,10.0246,9.7859,9.8151,135860
FPT,20130417,17-04-13,10.1306,10.2102,9.945,10.0804,105540
FPT,20130416,16-04-13,10.0246,10.0511,9.7594,9.9478,137720
FPT,20130415,15-04-13,10.2102,10.3428,9.9715,10.0273,320830
FPT,20130412,12-04-13,10.4754,10.5284,10.2632,10.3457,332180
FPT,20130411,11-04-13,10.555,10.555,10.3163,10.3987,312510
FPT,20130410,10-04-13,10.8732,10.8732,10.555,10.5579,305550
FPT,20130409,09-04-13,10.555,11.0323,10.5284,10.8497,894350
FPT,20130408,08-04-13,10.1837,10.5284,10.1837,10.5314,721860
FPT,20130405,05-04-13,10.0776,10.1837,10.0776,10.1865,123140
FPT,20130404,04-04-13,10.2102,10.2102,10.0776,10.1069,58120
FPT,20130403,03-04-13,10.2898,10.3163,10.1837,10.1865,128770
FPT,20130402,02-04-13,10.2102,10.4489,10.2102,10.2661,413850
FPT,20130401,01-04-13,9.9715,10.1837,9.9715,10.1865,142540
FPT,20130329,29-03-13,10.0246,10.0776,9.945,10.0273,184310
FPT,20130328,28-03-13,10.0511,10.1306,10.0246,10.0273,97940
FPT,20130327,27-03-13,10.1306,10.1572,10.0246,10.0273,187110
FPT,20130326,26-03-13,10.2898,10.2898,10.1572,10.16,138400
FPT,20130325,25-03-13,10.2632,10.2632,10.1306,10.213,173440
FPT,20130322,22-03-13,10.2367,10.555,10.0776,10.0804,387570
FPT,20130321,21-03-13,9.9185,10.2367,9.892,10.1335,274540
FPT,20130320,20-03-13,9.892,9.945,9.8124,9.8682,63140
FPT,20130319,19-03-13,9.7328,9.8389,9.7328,9.8151,27280
FPT,20130318,18-03-13,9.892,9.9185,9.7859,9.7886,54560
FPT,20130315,15-03-13,9.9185,9.9185,9.8389,9.8682,13800
FPT,20130314,14-03-13,9.945,9.945,9.8389,9.8947,15620
FPT,20130313,13-03-13,9.9715,9.9715,9.8124,9.8417,66390
FPT,20130312,12-03-13,9.8654,10.0246,9.7859,9.9212,67310
FPT,20130311,11-03-13,9.7594,9.945,9.7594,9.9212,78540
FPT,20130308,08-03-13,9.5207,9.7859,9.5207,9.7621,116190
FPT,20130307,07-03-13,9.6798,9.6798,9.4411,9.5499,115870
FPT,20130306,06-03-13,9.4676,9.6268,9.4676,9.6029,60350
FPT,20130305,05-03-13,9.5472,9.6002,9.4676,9.4703,194960
FPT,20130304,04-03-13,9.7859,9.7859,9.5472,9.6029,225550
FPT,20130301,01-03-13,9.8389,9.8389,9.7594,9.8151,96880
FPT,20130228,28-02-13,9.7063,9.8654,9.7063,9.8151,191070
FPT,20130227,27-02-13,9.7063,9.892,9.6798,9.709,283110
FPT,20130226,26-02-13,10.1837,10.1837,9.7859,9.7886,285040
FPT,20130225,25-02-13,10.3163,10.3163,10.1572,10.1865,143330
FPT,20130222,22-02-13,10.3163,10.4489,9.945,10.213,337970
FPT,20130221,21-02-13,10.4754,10.5019,10.2367,10.2396,307570
FPT,20130220,20-02-13,10.3958,10.5284,10.3958,10.4783,171590
FPT,20130219,19-02-13,10.608,10.6345,10.5019,10.5314,168260
FPT,20130218,18-02-13,10.555,10.661,10.5284,10.6109,131010
FPT,20130208,08-02-13,10.5284,10.7406,10.4754,10.5579,92170
FPT,20130207,07-02-13,10.4754,10.5019,10.4224,10.5048,155490
FPT,20130206,06-02-13,10.3693,10.608,10.3693,10.4518,90900
FPT,20130205,05-02-13,10.3693,10.4489,10.3163,10.3987,183200
FPT,20130204,04-02-13,10.555,10.555,10.3958,10.4518,166570
FPT,20130201,01-02-13,10.608,10.608,10.3428,10.4783,323300
FPT,20130131,31-01-13,10.7671,10.7936,10.608,10.6375,366670
FPT,20130130,30-01-13,10.608,11.0323,10.608,10.8232,689630
FPT,20130129,29-01-13,10.5284,10.608,10.4489,10.4783,207130
FPT,20130128,28-01-13,10.4754,10.8202,10.4754,10.5579,558550
FPT,20130125,25-01-13,10.1837,10.4754,10.1837,10.4253,787540
FPT,20130124,24-01-13,9.892,10.1041,9.892,10.0804,141650
FPT,20130123,23-01-13,9.7859,9.892,9.7859,9.8417,192530
FPT,20130122,22-01-13,9.998,10.0511,9.6268,9.8417,373240
FPT,20130121,21-01-13,10.0246,10.0776,9.945,10.0008,119000
FPT,20130118,18-01-13,10.0246,10.1041,9.998,10.0539,362960
FPT,20130117,17-01-13,10.2102,10.2632,10.1041,10.1069,292200
FPT,20130116,16-01-13,10.2367,10.3958,10.1306,10.2396,368380
FPT,20130115,15-01-13,9.998,10.2632,9.998,10.1335,357880
FPT,20130114,14-01-13,10.1306,10.2102,9.9715,10.0008,499600
FPT,20130111,11-01-13,10.4754,10.5284,10.2898,10.3191,614810
FPT,20130110,10-01-13,10.2632,10.555,10.2367,10.4783,607050
FPT,20130109,09-01-13,10.5815,10.5815,10.2102,10.3457,1588500
FPT,20130108,08-01-13,9.6268,10.0776,9.6002,10.0804,535860
FPT,20130107,07-01-13,9.6002,9.6798,9.5472,9.6029,204570
FPT,20130104,04-01-13,9.4676,9.6533,9.4411,9.656,278020
FPT,20130103,03-01-13,9.6533,9.7063,9.3616,9.5233,366960
FPT,20130102,02-01-13,9.3616,9.7063,9.3616,9.656,380320
FPT,20121228,28-12-12,9.4146,9.4146,9.3085,9.3376,152500
FPT,20121227,27-12-12,9.1494,9.4942,9.1494,9.4172,346980
FPT,20121226,26-12-12,8.7781,9.0964,8.7516,9.0989,274620
