<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BID,20170829,29-08-17,18.9957,19.2373,18.9473,18.9976,1636320
BID,20170828,28-08-17,19.0923,19.2373,18.899,18.9976,1189610
BID,20170825,25-08-17,19.2393,19.4327,19.046,19.0943,1774880
BID,20170824,24-08-17,18.8023,19.2373,18.754,19.1426,2016560
BID,20170823,23-08-17,18.5123,18.8507,18.4156,18.7559,1180060
BID,20170822,22-08-17,18.9473,18.9473,18.5123,18.5142,1799420
BID,20170821,21-08-17,19.0923,19.189,18.5606,18.9976,1027780
BID,20170818,18-08-17,18.3692,19.336,18.1758,19.0943,2250620
BID,20170817,17-08-17,19.336,19.481,18.4659,18.5626,5639850
BID,20170816,16-08-17,19.626,19.7227,19.1426,19.336,2001570
BID,20170815,15-08-17,20.059,20.1074,19.624,19.626,1784120
BID,20170814,14-08-17,19.624,20.1074,19.334,20.1094,1736920
BID,20170811,11-08-17,19.5273,19.7207,19.1407,19.626,2439370
BID,20170810,10-08-17,19.5273,20.1074,18.754,19.626,4450650
BID,20170809,09-08-17,21.3641,21.3641,19.7207,19.7227,9682480
BID,20170808,08-08-17,21.1717,21.2654,20.9843,21.1723,2963240
BID,20170807,07-08-17,20.797,21.1248,20.797,21.0787,3107320
BID,20170804,04-08-17,21.4527,21.4527,20.9843,20.985,2565930
BID,20170803,03-08-17,20.9843,21.5464,20.9843,21.4534,4418090
BID,20170802,02-08-17,20.4691,21.4996,20.2817,21.0318,6829100
BID,20170801,01-08-17,20.6096,20.9375,20.4222,20.7976,3554410
BID,20170731,31-07-17,19.7665,20.9375,19.7665,20.7976,6728350
BID,20170728,28-07-17,19.5323,19.8602,19.2981,19.6734,5408060
BID,20170727,27-07-17,19.2981,19.5323,19.1107,19.3924,3954610
BID,20170726,26-07-17,19.1107,19.5791,19.0639,19.2987,4938950
BID,20170725,25-07-17,18.1739,19.2044,18.1739,19.205,4854620
BID,20170724,24-07-17,17.9866,18.2676,17.7524,18.1745,1521320
BID,20170721,21-07-17,18.455,18.5486,18.0334,18.034,2846690
BID,20170720,20-07-17,18.0334,18.3613,17.7992,18.3619,2885390
BID,20170719,19-07-17,17.9397,18.0334,17.7992,17.8466,1785650
BID,20170718,18-07-17,17.6587,17.8929,17.5182,17.7529,1988430
BID,20170717,17-07-17,18.2208,18.2676,17.6587,17.7061,2508150
BID,20170714,14-07-17,18.455,18.455,18.0802,18.0808,1615650
BID,20170713,13-07-17,18.0802,18.4081,18.0334,18.315,1427810
BID,20170712,12-07-17,18.455,18.455,18.0802,18.0808,2218530
BID,20170711,11-07-17,18.455,18.5018,17.846,18.4555,2406080
BID,20170710,10-07-17,18.9234,19.017,18.455,18.4555,4280320
BID,20170707,07-07-17,19.017,19.2981,18.8765,18.9239,4883780
BID,20170706,06-07-17,19.2044,19.3918,18.8765,19.0176,5082620
BID,20170705,05-07-17,19.0639,19.1576,18.9234,19.1113,3792250
BID,20170704,04-07-17,19.5791,19.5791,18.9234,19.0176,3960190
BID,20170703,03-07-17,19.1107,19.626,19.1107,19.3924,3702190
BID,20170630,30-06-17,18.9234,19.1107,18.9234,19.1113,2718220
BID,20170629,29-06-17,18.8765,19.2981,18.8765,19.0176,5414500
BID,20170628,28-06-17,18.5955,18.9234,18.455,18.6897,3584220
BID,20170627,27-06-17,18.9234,19.0639,18.6423,18.6429,3955780
BID,20170626,26-06-17,18.6423,19.0639,18.5486,18.9239,4079030
BID,20170623,23-06-17,18.455,18.6423,18.3613,18.6429,4067480
BID,20170622,22-06-17,19.1107,19.2044,18.5955,18.5961,4700650
BID,20170621,21-06-17,19.1107,19.2981,18.5955,19.0176,7245070
BID,20170620,20-06-17,19.017,19.2981,18.8297,19.2518,6648680
BID,20170619,19-06-17,18.736,18.7828,18.5486,18.7366,4812540
BID,20170616,16-06-17,18.455,18.6423,18.4081,18.5024,3740610
BID,20170615,15-06-17,18.8297,18.8297,18.4081,18.5492,5827220
BID,20170614,14-06-17,18.455,18.8297,18.4081,18.7366,7438470
BID,20170613,13-06-17,17.7992,18.455,17.7055,18.2682,4418920
BID,20170612,12-06-17,17.7055,18.0334,17.565,17.7529,4459550
BID,20170609,09-06-17,17.8929,18.0334,17.6118,17.6592,4780100
BID,20170608,08-06-17,18.0802,18.1739,17.7055,17.8934,3776460
BID,20170607,07-06-17,18.2676,18.5018,18.0802,18.1745,6665550
BID,20170606,06-06-17,17.4245,18.2208,17.3308,18.1745,8701470
BID,20170605,05-06-17,17.3308,17.6118,17.2371,17.5187,3173120
BID,20170602,02-06-17,17.1434,17.2371,16.8156,17.0971,5040700
BID,20170601,01-06-17,17.3308,17.4713,17.1434,17.144,3182440
BID,20170531,31-05-17,17.1903,17.4245,17.0029,17.2845,4665780
BID,20170530,30-05-17,17.7055,17.9866,17.1903,17.1908,7521710
BID,20170529,29-05-17,18.2676,18.5486,17.7055,17.7998,6835440
BID,20170526,26-05-17,17.7992,18.2676,17.7992,18.2682,6662620
BID,20170525,25-05-17,18.0334,18.455,17.7992,17.8934,8562650
BID,20170524,24-05-17,17.284,18.1271,17.1434,18.034,9620910
