<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
CMG,20180119,19-01-18,24.1961,24.4133,23.197,23.3709,165770
CMG,20180118,18-01-18,23.4576,24.0658,23.4576,24.0659,144260
CMG,20180117,17-01-18,24.4133,24.587,23.9354,23.9356,246700
CMG,20180116,16-01-18,25.0214,25.0214,24.4133,24.4134,154750
CMG,20180115,15-01-18,25.0214,25.6296,24.6739,25.0216,122790
CMG,20180112,12-01-18,24.8042,25.9771,24.8042,25.0216,283960
CMG,20180111,11-01-18,24.3264,24.9346,23.9789,24.8044,261050
CMG,20180110,10-01-18,24.6739,24.6739,24.1526,24.3266,314570
CMG,20180109,09-01-18,24.5002,25.0214,24.3264,24.5003,341750
CMG,20180108,08-01-18,24.587,25.0649,24.0658,24.3266,423910
CMG,20180105,05-01-18,25.6296,25.8468,25.1083,25.1085,216670
CMG,20180104,04-01-18,25.7165,26.4115,25.2821,25.9773,283880
CMG,20180103,03-01-18,24.587,26.2812,24.587,25.7166,659940
CMG,20171229,29-12-17,24.3264,25.6296,23.892,25.1954,463890
CMG,20171228,28-12-17,23.892,25.8902,23.8051,24.1528,967120
CMG,20171227,27-12-17,25.5862,25.5862,25.5862,25.5863,220000
CMG,20171226,26-12-17,30.8424,31.5374,27.4975,27.4977,606660
CMG,20171225,25-12-17,25.7165,29.5392,25.7165,29.5394,1021340
CMG,20171222,22-12-17,27.6278,27.6278,27.6278,27.628,76620
CMG,20171221,21-12-17,29.6695,29.6695,29.6695,29.6697,274910
CMG,20171220,20-12-17,31.885,32.58,31.885,31.8852,856730
CMG,20171219,19-12-17,34.2742,34.2742,34.2742,34.2744,23020
CMG,20171218,18-12-17,36.8371,36.8371,36.8371,36.8374,14720
CMG,20171215,15-12-17,45.0907,45.4382,39.5738,39.5741,641630
CMG,20171214,14-12-17,42.3106,42.5278,41.7024,42.528,433820
CMG,20171213,13-12-17,39.3566,39.7476,39.2698,39.7479,514940
CMG,20171212,12-12-17,35.6208,37.1846,35.5339,37.1849,686540
CMG,20171211,11-12-17,33.0144,35.447,31.9718,34.7522,589240
CMG,20171208,08-12-17,32.58,33.1447,32.1456,33.1449,509360
CMG,20171207,07-12-17,29.5392,31.0162,29.5392,31.0164,588400
CMG,20171206,06-12-17,27.6278,29.5392,27.4541,29.0181,543450
CMG,20171205,05-12-17,27.1066,28.6704,26.3246,27.628,672070
CMG,20171204,04-12-17,26.759,27.2803,26.4984,27.1067,346440
CMG,20171201,01-12-17,25.8034,26.2378,25.0214,25.9773,314300
CMG,20171130,30-11-17,25.369,26.1509,25.369,25.7166,359990
CMG,20171129,29-11-17,26.1509,26.8459,25.369,25.3691,775640
CMG,20171128,28-11-17,24.3698,25.8902,24.3698,25.7166,462620
CMG,20171127,27-11-17,23.8486,24.3698,23.8486,24.37,712550
CMG,20171124,24-11-17,22.1978,23.0232,22.1978,22.8061,326140
CMG,20171123,23-11-17,22.4585,23.5445,22.2413,22.3717,459520
CMG,20171122,22-11-17,22.5454,22.9363,21.9806,22.1545,242430
CMG,20171121,21-11-17,21.8503,23.1101,21.8503,22.4152,444630
CMG,20171120,20-11-17,20.4168,21.9372,20.4168,21.807,246780
CMG,20171117,17-11-17,20.8512,21.025,20.5037,20.5907,206350
CMG,20171116,16-11-17,21.025,21.1987,20.5037,21.112,231390
CMG,20171115,15-11-17,21.1118,21.6331,20.9381,21.112,198890
CMG,20171114,14-11-17,21.7634,22.2413,20.8078,21.3726,281990
CMG,20171113,13-11-17,19.8086,21.1553,19.3742,21.1554,608070
CMG,20171110,10-11-17,21.6331,21.6331,19.8086,19.8088,236370
CMG,20171109,09-11-17,20.1562,21.3725,20.1562,21.112,232490
CMG,20171108,08-11-17,19.2874,20.1562,19.1136,19.9825,241850
CMG,20171107,07-11-17,18.2448,19.0702,18.2448,19.0268,299550
CMG,20171106,06-11-17,17.7235,18.7661,17.376,18.2449,185620
CMG,20171103,03-11-17,17.5498,17.6366,17.0285,17.5499,58210
CMG,20171102,02-11-17,17.2022,18.1579,17.1154,17.6368,165480
CMG,20171101,01-11-17,16.2466,17.376,16.1597,17.072,194090
CMG,20171031,31-10-17,16.3334,16.4203,16.2466,16.2467,74700
CMG,20171030,30-10-17,16.5072,16.5072,15.9425,16.2467,135100
CMG,20171027,27-10-17,15.8122,16.2466,15.8122,16.0729,157780
CMG,20171026,26-10-17,15.9859,15.9859,15.6384,15.9426,72530
