<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VHM,20190909,09-09-19,89,88.8,87.9,88.4,336920
VHM,20190906,06-09-19,89,89,88,88.8,243750
VHM,20190905,05-09-19,89,89.6,88.6,89,429760
VHM,20190904,04-09-19,87.7,89.2,87.2,89,862730
VHM,20190903,03-09-19,87.8,87.9,87.2,87.6,243420
VHM,20190830,30-08-19,86.8,88,86.8,87.8,436220
VHM,20190829,29-08-19,86.8,87,85.3,86.8,344570
VHM,20190828,28-08-19,86,87.5,86,86.8,297410
VHM,20190827,27-08-19,85.9,87.9,85.9,86.6,871250
VHM,20190826,26-08-19,85,86.2,85,85.9,375290
VHM,20190823,23-08-19,88,88,87,87,582580
VHM,20190822,22-08-19,87.5,87.9,86.8,87.9,380330
VHM,20190821,21-08-19,86.6,88,86.4,87.3,548090
VHM,20190820,20-08-19,84.2,86.8,84.2,86.7,642320
VHM,20190819,19-08-19,84,84.3,83.5,84.2,341980
VHM,20190816,16-08-19,83.6,85.2,83.5,83.5,589570
VHM,20190815,15-08-19,82,84,81,84,368870
VHM,20190814,14-08-19,83.5,84.4,83,83,487320
VHM,20190813,13-08-19,84,84,82.1,82.9,723240
VHM,20190812,12-08-19,83.4,84.3,83.3,84.2,229140
VHM,20190809,09-08-19,85,85,83.6,84,352540
VHM,20190808,08-08-19,84,85.5,82.7,84.5,556040
VHM,20190807,07-08-19,83.9885,84.2849,82.3087,83.0004,724520
VHM,20190806,06-08-19,83.4945,83.6921,81.9135,82.5064,960830
VHM,20190805,05-08-19,87.932,88.92,84.1776,84.1861,902620
VHM,20190802,02-08-19,87.5368,89.1176,87.0428,89.1266,627380
VHM,20190801,01-08-19,87.9409,89.7195,86.9528,89.4231,913610
VHM,20190731,31-07-19,83.98,88.1296,83.98,87.1504,991720
VHM,20190730,30-07-19,88.3361,88.3361,83.0004,83.0004,987720
VHM,20190729,29-07-19,86.4588,86.9528,85.7671,86.7552,423030
VHM,20190726,26-07-19,86.4588,86.854,85.5695,86.4588,473900
VHM,20190725,25-07-19,84.779,87.8421,84.4826,86.4588,1379690
VHM,20190724,24-07-19,84.9766,85.6683,84.1861,84.779,542990
VHM,20190723,23-07-19,83.5933,84.9766,83.2968,84.779,826210
VHM,20190722,22-07-19,83.4945,83.5933,82.8028,83.5933,471720
VHM,20190719,19-07-19,82.0123,84.2849,82.4075,83.4945,1028110
VHM,20190718,18-07-19,82.0123,83.0004,82.0123,83.0004,513470
VHM,20190717,17-07-19,82.9016,84.4826,82.9016,83.0004,816530
VHM,20190716,16-07-19,81.0242,83.0004,81.0242,82.9016,833350
VHM,20190715,15-07-19,82.1111,82.0123,80.3325,81.0242,713050
VHM,20190712,12-07-19,82.1028,82.6956,81.4112,82.1111,626820
VHM,20190711,11-07-19,82.6956,82.8932,82.1028,82.1111,392510
VHM,20190710,10-07-19,82.1028,82.7944,82.1028,82.4075,321230
VHM,20190709,09-07-19,82.004,82.7944,81.51,82.1111,579540
VHM,20190708,08-07-19,83.9885,84.1861,82.0123,82.0123,666020
VHM,20190705,05-07-19,83.198,84.9766,82.5064,84.9766,1234430
VHM,20190704,04-07-19,79.6409,83.9885,80.9254,83.9885,2075630
VHM,20190703,03-07-19,79.6409,81.0242,79.1468,81.0242,1517660
VHM,20190702,02-07-19,80.1268,80.2256,79.04,80.1349,1087630
VHM,20190701,01-07-19,80.0361,80.0361,78.3563,80.0361,1090570
VHM,20190628,28-06-19,78.3484,78.546,75.582,78.3563,928700
VHM,20190627,27-06-19,76.5778,78.0599,76.5778,76.5778,815110
VHM,20190626,26-06-19,78.0599,78.6528,77.7635,78.0599,1174210
VHM,20190625,25-06-19,78.8504,79.1468,78.554,78.554,866490
VHM,20190624,24-06-19,77.6647,79.4432,77.6647,78.554,1452270
VHM,20190621,21-06-19,77.5659,78.3563,77.5659,77.5659,3742200
VHM,20190620,20-06-19,77.4592,77.9532,77.064,77.467,1561250
VHM,20190619,19-06-19,77.1628,77.3604,76.8664,77.1706,729570
VHM,20190618,18-06-19,76.8742,77.0718,75.392,77.0718,1640620
VHM,20190617,17-06-19,78.9492,78.9492,76.6766,77.0718,458320
VHM,20190614,14-06-19,77.8623,78.9492,77.6647,78.9492,482820
VHM,20190613,13-06-19,78.554,79.048,75.6885,79.048,2022580
VHM,20190612,12-06-19,80.5302,80.5302,78.554,79.048,893930
VHM,20190611,11-06-19,81.0242,81.0242,80.3325,80.9254,375370
VHM,20190610,10-06-19,82.0123,82.0123,80.4313,81.0242,596360
VHM,20190607,07-06-19,79.534,82.004,78.9412,81.2218,572380
VHM,20190606,06-06-19,79.534,79.8304,77.9532,79.3444,582690
VHM,20190605,05-06-19,80.2337,80.5302,79.3444,79.6409,452630
VHM,20190604,04-06-19,79.5421,80.0361,77.9611,79.6409,557890
