<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
VCB,20160722,22-07-16,38.2525,38.6003,36.166,36.1663,886600
VCB,20160721,21-07-16,38.2525,38.6003,36.8615,38.6006,657360
VCB,20160720,20-07-16,39.2958,39.2958,37.557,38.2528,422540
VCB,20160719,19-07-16,38.948,39.6435,38.2525,38.9483,559050
VCB,20160718,18-07-16,37.2093,38.948,36.8615,38.6006,736570
VCB,20160715,15-07-16,38.948,39.6435,37.557,37.5573,850920
VCB,20160714,14-07-16,40.339,40.6868,38.948,38.9483,921830
VCB,20160713,13-07-16,37.557,39.9913,37.557,39.9916,1442560
VCB,20160712,12-07-16,36.166,37.557,36.166,37.5573,725030
VCB,20160711,11-07-16,35.8183,37.2093,35.4705,36.1663,1538540
VCB,20160708,08-07-16,35.4705,36.5138,34.775,35.4708,834180
VCB,20160707,07-07-16,35.1228,35.4705,34.6359,35.4708,714940
VCB,20160706,06-07-16,34.775,35.8183,34.7055,34.7753,592020
VCB,20160705,05-07-16,34.3577,36.166,34.3577,35.123,1658790
VCB,20160704,04-07-16,33.0363,34.3577,33.0363,34.2189,1206430
VCB,20160701,01-07-16,32.8972,33.2449,32.6885,33.0365,523850
VCB,20160630,30-06-16,32.7581,33.0363,32.6885,32.8974,478490
VCB,20160629,29-06-16,32.4103,32.9667,32.4103,32.8974,544530
VCB,20160628,28-06-16,31.8539,32.5494,31.8539,32.2715,403030
VCB,20160627,27-06-16,32.2712,32.2712,31.5757,32.1324,341850
VCB,20160624,24-06-16,33.3145,33.384,31.0889,32.5497,827980
VCB,20160623,23-06-16,32.619,33.384,32.5494,33.3843,688340
VCB,20160622,22-06-16,32.6885,32.7581,32.3408,32.5497,483280
VCB,20160621,21-06-16,32.619,32.7581,32.5494,32.6888,527750
VCB,20160620,20-06-16,32.7581,32.8972,32.2017,32.6192,622260
VCB,20160617,17-06-16,32.8972,33.1754,32.7581,32.7583,946910
VCB,20160616,16-06-16,33.3145,33.4536,33.1058,33.1756,627180
VCB,20160615,15-06-16,33.5231,33.5231,33.1754,33.2452,603140
VCB,20160614,14-06-16,33.4536,33.8013,33.2449,33.5929,789760
VCB,20160613,13-06-16,33.7318,34.01,33.5927,33.6625,1201150
VCB,20160610,10-06-16,33.4536,34.1491,33.4536,33.732,885040
VCB,20160609,09-06-16,33.3145,33.5927,33.1754,33.4538,401410
VCB,20160608,08-06-16,33.4536,33.8013,33.2449,33.3147,912800
VCB,20160607,07-06-16,33.384,33.5927,33.1754,33.4538,435960
VCB,20160606,06-06-16,32.7581,33.7318,32.7581,33.2452,783790
VCB,20160603,03-06-16,32.6885,33.0363,32.6885,32.8974,440430
VCB,20160602,02-06-16,32.5494,32.8972,32.4103,32.7583,290780
VCB,20160601,01-06-16,32.3408,32.6885,32.3408,32.6192,370980
VCB,20160531,31-05-16,32.619,33.0363,32.4103,32.4801,490340
VCB,20160530,30-05-16,31.7844,32.5494,31.5757,32.5497,535160
VCB,20160527,27-05-16,31.5757,31.7148,31.1584,31.5064,591480
VCB,20160526,26-05-16,31.993,32.2017,31.5062,31.5064,722940
VCB,20160525,25-05-16,32.3408,32.4799,31.993,31.9933,272480
VCB,20160524,24-05-16,32.2712,32.3408,31.6453,31.9237,757630
VCB,20160523,23-05-16,32.8972,33.2449,32.0626,32.0628,701070
VCB,20160520,20-05-16,33.8013,33.9404,32.8276,32.967,1038420
VCB,20160519,19-05-16,34.0795,34.0795,33.4536,33.4538,402860
VCB,20160518,18-05-16,33.5927,34.6359,33.5231,34.0798,1259090
VCB,20160517,17-05-16,33.5231,33.9404,33.3145,33.5929,663200
VCB,20160516,16-05-16,32.9667,33.5927,32.8276,33.5929,377280
VCB,20160513,13-05-16,33.384,33.5927,32.6885,33.1061,679240
VCB,20160512,12-05-16,34.0795,34.2882,33.384,33.3843,488750
VCB,20160511,11-05-16,33.8013,34.2186,33.5927,34.0798,713460
VCB,20160510,10-05-16,33.384,33.8013,33.1058,33.8016,544750
VCB,20160509,09-05-16,33.8013,34.2882,33.384,33.3843,831230
VCB,20160506,06-05-16,32.9667,33.9404,32.8276,33.8016,1525690
VCB,20160505,05-05-16,32.3408,33.2449,32.2017,32.7583,1076200
VCB,20160504,04-05-16,31.8539,32.4799,31.4366,32.0628,747740
VCB,20160429,29-04-16,31.7148,32.5494,31.7148,31.9933,726380
VCB,20160428,28-04-16,31.993,32.5494,31.7844,32.1324,693290
VCB,20160427,27-04-16,32.8276,33.0363,31.9235,31.9933,1194570
VCB,20160426,26-04-16,31.6453,32.8276,31.6453,32.8279,835300
VCB,20160425,25-04-16,31.9235,32.5494,31.9235,31.9237,1300050
VCB,20160422,22-04-16,29.837,31.8539,29.837,31.7846,2478140
VCB,20160421,21-04-16,29.7674,30.0456,29.6283,29.8372,818280
VCB,20160420,20-04-16,29.5588,29.7674,29.2806,29.7677,769750
VCB,20160419,19-04-16,29.6283,30.1152,29.3501,29.4895,983900
VCB,20160415,15-04-16,29.5588,30.2543,29.4197,29.559,1187790
VCB,20160414,14-04-16,29.1415,29.5588,29.0719,29.4199,774160
VCB,20160413,13-04-16,29.1415,29.4892,29.0719,29.1417,633990
VCB,20160412,12-04-16,28.9328,29.6283,28.5155,29.2808,970780
VCB,20160411,11-04-16,28.7937,29.211,28.446,28.933,985640
VCB,20160408,08-04-16,28.8633,29.0024,28.7242,28.7939,653640
VCB,20160407,07-04-16,29.3501,29.3501,28.5851,29.0026,594270
