<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
MSN,20160628,28-06-16,42.612,42.612,41.976,42.6186,294500
MSN,20160627,27-06-16,42.612,42.93,41.976,42.6186,151140
MSN,20160624,24-06-16,43.884,43.884,41.976,42.9366,320530
MSN,20160623,23-06-16,43.884,43.884,43.566,43.8908,207350
MSN,20160622,22-06-16,43.884,44.52,43.884,43.8908,54550
MSN,20160621,21-06-16,44.202,44.52,43.884,43.8908,108620
MSN,20160620,20-06-16,43.884,44.52,43.566,44.2088,214630
MSN,20160617,17-06-16,43.884,45.156,43.248,45.163,1517950
MSN,20160616,16-06-16,43.566,44.202,43.566,43.5727,201010
MSN,20160615,15-06-16,43.884,43.884,43.248,43.5727,84940
MSN,20160614,14-06-16,43.884,44.202,43.566,43.8908,116110
MSN,20160613,13-06-16,44.52,44.52,43.884,43.8908,232740
MSN,20160610,10-06-16,44.202,44.52,43.884,44.5269,405750
MSN,20160609,09-06-16,44.202,44.52,43.884,44.2088,114520
MSN,20160608,08-06-16,43.884,44.52,43.566,44.5269,279510
MSN,20160607,07-06-16,43.566,43.884,43.248,43.8908,174210
MSN,20160606,06-06-16,43.884,43.884,43.566,43.5727,153140
MSN,20160603,03-06-16,43.884,44.202,43.884,43.8908,184710
MSN,20160602,02-06-16,43.884,44.202,43.566,43.8908,39940
MSN,20160601,01-06-16,44.202,44.202,43.566,43.8908,147400
MSN,20160531,31-05-16,43.884,44.202,43.566,44.2088,254110
MSN,20160530,30-05-16,43.884,43.884,43.566,43.8908,157700
MSN,20160527,27-05-16,44.52,44.52,43.566,43.8908,184750
MSN,20160526,26-05-16,44.202,44.52,43.884,43.8908,114240
MSN,20160525,25-05-16,44.838,45.156,44.52,44.5269,219550
MSN,20160524,24-05-16,44.52,45.156,44.202,45.163,353360
MSN,20160523,23-05-16,44.202,44.52,43.884,44.2088,150590
MSN,20160520,20-05-16,44.52,44.52,43.884,44.2088,413900
MSN,20160519,19-05-16,45.474,45.792,44.52,44.5269,294740
MSN,20160518,18-05-16,45.474,45.792,45.156,45.481,134110
MSN,20160517,17-05-16,45.474,45.792,45.156,45.163,201400
MSN,20160516,16-05-16,45.156,45.474,44.838,45.163,287960
MSN,20160513,13-05-16,45.792,45.792,44.838,44.8449,272690
MSN,20160512,12-05-16,45.792,46.11,45.474,45.7991,229250
MSN,20160511,11-05-16,45.792,45.792,44.838,45.7991,353890
MSN,20160510,10-05-16,45.156,45.792,44.52,45.481,380290
MSN,20160509,09-05-16,46.11,47.064,45.474,45.481,232020
MSN,20160506,06-05-16,45.156,47.064,45.156,46.1171,1012480
MSN,20160505,05-05-16,45.156,45.474,44.838,45.163,403090
MSN,20160504,04-05-16,45.156,45.474,44.52,45.163,504510
MSN,20160429,29-04-16,43.884,45.474,43.884,44.5269,681090
MSN,20160428,28-04-16,44.202,44.52,43.884,43.8908,232460
MSN,20160427,27-04-16,43.884,44.52,43.566,44.2088,381930
MSN,20160426,26-04-16,43.248,44.52,43.248,43.8908,465120
MSN,20160425,25-04-16,44.202,44.52,42.93,43.5727,339790
MSN,20160422,22-04-16,44.202,44.52,43.884,43.8908,195010
MSN,20160421,21-04-16,42.93,44.52,42.93,44.5269,334330
MSN,20160420,20-04-16,43.884,43.884,42.93,42.9366,214480
MSN,20160419,19-04-16,44.202,44.52,43.248,43.8908,427350
MSN,20160415,15-04-16,44.52,44.52,43.884,44.2088,155690
MSN,20160414,14-04-16,44.202,44.838,44.202,44.2088,197410
MSN,20160413,13-04-16,43.884,44.838,43.884,43.8908,239340
MSN,20160412,12-04-16,45.156,45.156,44.52,44.5269,235220
MSN,20160411,11-04-16,44.202,45.156,44.202,45.163,694480
MSN,20160408,08-04-16,44.52,44.838,43.884,44.2088,599800
MSN,20160407,07-04-16,45.474,45.474,44.52,45.163,208440
MSN,20160406,06-04-16,45.474,45.474,44.202,45.163,428160
MSN,20160405,05-04-16,44.52,45.156,44.202,44.8449,399050
MSN,20160404,04-04-16,45.156,45.474,44.202,44.5269,384220
MSN,20160401,01-04-16,45.156,45.792,44.838,45.163,331930
MSN,20160331,31-03-16,46.11,46.11,45.474,45.481,420860
MSN,20160330,30-03-16,45.792,46.746,45.792,46.1171,340720
MSN,20160329,29-03-16,47.064,47.064,46.11,46.1171,375020
MSN,20160328,28-03-16,47.064,47.382,46.746,47.3893,220710
MSN,20160325,25-03-16,47.064,47.382,45.792,47.0713,342700
MSN,20160324,24-03-16,45.792,48.654,45.792,46.7532,1122090
MSN,20160323,23-03-16,44.52,46.11,44.52,45.7991,545030
MSN,20160322,22-03-16,44.838,45.156,43.884,44.5269,323900
MSN,20160321,21-03-16,45.792,46.11,44.52,44.5269,485990
MSN,20160318,18-03-16,46.11,46.11,45.474,45.481,1188240
MSN,20160317,17-03-16,46.11,47.064,45.792,46.1171,903720
MSN,20160316,16-03-16,47.064,47.064,46.428,46.4352,237120
MSN,20160315,15-03-16,47.7,47.7,46.428,46.7532,254170
MSN,20160314,14-03-16,47.064,47.7,47.064,47.7074,263000
MSN,20160311,11-03-16,47.064,47.7,46.746,46.7532,236980
MSN,20160310,10-03-16,48.018,48.018,47.064,47.3893,153780
MSN,20160309,09-03-16,48.018,48.336,48.018,48.0254,54060
MSN,20160308,08-03-16,47.7,48.018,47.382,47.7074,138590
MSN,20160307,07-03-16,47.382,48.972,47.064,47.3893,320530
MSN,20160304,04-03-16,48.018,48.018,47.064,47.3893,160570
MSN,20160303,03-03-16,47.382,48.018,46.746,47.3893,252210
MSN,20160302,02-03-16,45.792,46.746,45.792,46.4352,116760
MSN,20160301,01-03-16,45.792,46.11,45.792,45.7991,80880
MSN,20160229,29-02-16,46.428,47.064,45.792,45.7991,137790
MSN,20160226,26-02-16,46.428,47.064,45.474,47.0713,72350
MSN,20160225,25-02-16,47.382,47.382,45.792,45.7991,127080
MSN,20160224,24-02-16,47.064,47.064,46.746,46.7532,28430
MSN,20160223,23-02-16,48.018,48.018,46.746,47.0713,88940
MSN,20160222,22-02-16,45.474,48.018,45.474,47.3893,256860
MSN,20160219,19-02-16,46.11,46.11,45.474,45.481,125160
MSN,20160218,18-02-16,45.474,46.428,45.474,45.7991,75490
MSN,20160217,17-02-16,46.11,46.11,45.474,45.7991,113100
MSN,20160216,16-02-16,45.474,46.11,45.474,45.7991,111070
MSN,20160215,15-02-16,45.474,46.746,45.156,45.7991,135790
MSN,20160205,05-02-16,46.746,47.064,46.11,46.7532,23030
MSN,20160204,04-02-16,45.792,47.064,45.792,46.7532,101460
MSN,20160203,03-02-16,45.792,46.11,44.838,45.7991,98450
MSN,20160202,02-02-16,45.792,47.382,44.838,44.8449,92570
MSN,20160201,01-02-16,46.11,46.11,45.474,45.481,51260
MSN,20160129,29-01-16,46.11,46.428,45.792,46.1171,160350
MSN,20160128,28-01-16,47.064,47.064,45.792,46.4352,42820
MSN,20160127,27-01-16,46.11,47.382,46.11,46.7532,137500
MSN,20160126,26-01-16,45.792,47.7,45.792,46.7532,93100
MSN,20160125,25-01-16,46.11,47.064,45.474,47.0713,83770
MSN,20160122,22-01-16,45.474,45.474,44.202,45.163,77780
MSN,20160121,21-01-16,45.474,46.746,45.474,45.481,88430
MSN,20160120,20-01-16,44.52,45.792,44.202,45.481,162910
MSN,20160119,19-01-16,44.52,45.156,43.566,45.163,50490
MSN,20160118,18-01-16,43.566,44.52,42.93,44.5269,126500
MSN,20160115,15-01-16,47.7,47.7,44.52,44.5269,234560
MSN,20160114,14-01-16,47.064,48.018,46.746,47.0713,173530
MSN,20160113,13-01-16,48.654,48.654,47.7,47.7074,72760
MSN,20160112,12-01-16,48.972,48.972,48.018,48.6615,119130
MSN,20160111,11-01-16,48.336,48.654,47.7,48.3435,159030
MSN,20160108,08-01-16,48.336,49.608,48.336,48.6615,75080
MSN,20160107,07-01-16,47.382,49.926,47.064,49.2976,375660
MSN,20160106,06-01-16,46.746,48.336,46.746,48.3435,144590
MSN,20160105,05-01-16,48.018,48.018,46.428,47.7074,243440
MSN,20160104,04-01-16,48.018,49.29,48.018,48.0254,92620
MSN,20151231,31-12-15,49.29,49.29,47.064,49.2976,394010
MSN,20151230,30-12-15,48.972,49.926,48.972,48.9796,86930
MSN,20151229,29-12-15,50.88,50.88,49.608,49.6157,207360
MSN,20151228,28-12-15,50.562,50.88,49.926,50.8879,1959360
MSN,20151225,25-12-15,45.792,47.7,45.474,47.7074,870300
MSN,20151224,24-12-15,43.884,44.838,43.566,44.8449,190230
MSN,20151223,23-12-15,42.612,43.884,42.612,43.8908,294970
MSN,20151222,22-12-15,43.248,44.202,42.93,43.2547,894970
MSN,20151221,21-12-15,44.838,44.838,43.248,43.2547,653570
MSN,20151218,18-12-15,42.93,45.792,42.612,45.163,1883020
MSN,20151217,17-12-15,43.884,43.884,42.93,43.2547,762840
MSN,20151216,16-12-15,44.202,44.202,43.566,43.8908,226940
MSN,20151215,15-12-15,43.884,44.202,43.566,44.2088,361620
MSN,20151214,14-12-15,44.202,45.156,44.202,44.2088,410270
MSN,20151211,11-12-15,45.474,45.474,44.838,45.163,149220
MSN,20151210,10-12-15,45.156,45.474,44.52,45.481,309310
MSN,20151209,09-12-15,45.474,45.792,45.156,45.481,543860
MSN,20151208,08-12-15,45.156,45.792,45.156,45.7991,154180
MSN,20151207,07-12-15,45.792,45.792,44.838,45.7991,385540
MSN,20151204,04-12-15,45.474,45.792,45.156,45.7991,436430
